State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
ALABAMA,SUMTER COUNTY,2189,2332,2283,2416,2561,‡,648,1077,1132,1199,1173,1245,1398,‡,607,976,1048,1131,1108,1170,1163,‡,1,1,0,0,1,0,0,‡,1,2,13,22,14,8,1,‡,5,1,1,0,0,0,1,‡,1238,2038,2159,2301,2258,2403,2548,‡,7,9,7,7,8,4,11,‡,0,0,†,†,‡,3,2,†,†
GEORGIA,SUMTER COUNTY,5116,5211,5462,5516,5599,2517,2555,2604,2567,2553,2715,2753,2807,2420,2453,2492,2549,2597,2696,2715,2745,2,2,6,6,10,10,12,15,19,33,36,36,54,47,33,32,391,364,374,347,283,274,232,209,3713,3760,3776,3778,3851,4060,4115,4169,732,789,843,892,952,1020,1076,1127,8,4,4,5,†,72,56,57,52,†
MISSISSIPPI,SUNFLOWER COUNTY,4495,4603,4809,4890,5026,2174,2195,2266,2331,2605,2701,2608,2671,2054,2111,2154,2215,2472,2556,2423,2501,0,0,0,0,0,0,0,0,9,8,11,9,19,18,10,7,49,46,59,59,76,81,68,56,4066,4145,4221,4364,4644,4749,4786,4926,95,102,122,110,338,409,167,183,0,0,1,0,0,9,5,6,4,0
NORTH CAROLINA,SURRY COUNTY,10910,11038,12174,12162,12170,6169,6185,5756,6146,6122,6022,6068,6245,5816,5841,5516,5934,5918,5829,5783,5925,15,15,14,14,11,10,13,12,79,81,86,95,87,86,98,117,2294,2251,1939,1916,1754,1775,1617,1500,427,413,417,859,855,508,529,768,8896,8995,8566,9196,9333,9472,9594,9773,9,8,3,†,†,265,263,247,†,†
VIRGINIA,SURRY COUNTY,1017,1041,1044,1080,1113,452,455,486,529,549,565,581,588,450,473,491,487,492,478,498,524,1,1,0,0,0,0,0,0,0,1,1,5,7,5,4,3,6,14,12,8,9,7,4,5,554,568,609,637,672,685,714,726,328,326,337,366,353,346,357,378,0,0,2,†,†,13,18,16,†,†
PENNSYLVANIA,SUSQUEHANNA COUNTY,7221,7196,7492,8170,7955,3418,3487,3665,3759,3705,3840,4106,4063,3248,3236,3355,3441,3490,3652,3982,3887,12,15,15,9,13,11,19,14,22,22,23,31,33,38,37,30,160,138,138,123,114,115,96,96,89,75,83,84,82,92,82,68,6340,6428,6717,6953,6953,7236,7854,7742,18,18,12,†,†,25,27,32,†,†
NEW JERSEY,SUSSEX COUNTY,24564,25137,25654,25655,27281,11572,12056,12200,13183,13543,13750,13803,14627,10951,11458,11534,12363,12639,12787,12790,13521,33,30,37,34,40,37,50,54,505,540,524,544,540,569,554,522,1553,1536,1445,1556,1520,1513,1411,1333,561,605,608,603,575,563,497,520,19771,20725,21063,22746,23452,23855,24081,25719,26,18,16,35,32,74,60,41,28,23
DELAWARE,SUSSEX COUNTY,27742,27361,26880,26439,22221,13977,13495,13427,12949,12958,12863,12664,12564,13283,12935,12740,12547,12377,12245,12036,11920,187,198,218,126,137,133,128,129,406,388,414,424,388,366,355,324,4610,4133,3852,3402,3236,2957,2635,2327,5596,5581,5725,5894,5835,5841,5852,5959,15562,15389,15411,15650,15739,15811,15730,15745,25,14,8,†,†,874,727,539,†,†
VIRGINIA,SUSSEX COUNTY,1237,1215,1301,1380,1383,599,597,630,652,645,698,728,735,540,544,560,581,562,599,647,645,2,2,0,0,0,1,1,0,7,6,3,2,1,4,2,3,27,23,24,27,35,28,16,19,839,842,879,939,915,996,1072,1081,253,260,280,265,256,268,284,277,0,0,0,†,†,11,8,4,†,†
CALIFORNIA,SUTTER COUNTY,20466,20020,19597,19137,17770,10472,10517,10355,10254,10159,9442,9471,8871,9957,9899,9688,9602,9410,8664,8579,8042,176,184,199,210,248,265,265,237,2769,2772,2676,2654,2652,2737,2711,2531,7548,7415,7212,7062,6112,6065,5923,5474,355,363,407,418,475,505,582,436,8288,8461,8489,8388,8501,8534,8569,8235,55,50,64,77,86,1238,1171,996,1047,1495
TEXAS,SUTTON COUNTY,935,1010,999,1008,1014,495,486,485,481,515,512,524,518,439,425,433,454,495,487,484,496,3,8,7,0,0,0,0,1,0,2,1,2,4,4,1,0,661,639,647,662,687,659,675,684,4,1,0,4,6,5,2,0,256,252,255,267,313,331,330,329,0,0,0,†,†,10,9,8,†,†
FLORIDA,SUWANNEE COUNTY,6122,5970,5988,5981,5954,‡,3173,3222,3099,3054,3086,3061,3084,‡,2887,2950,2885,2807,2797,2832,2870,‡,22,21,17,20,22,15,21,‡,42,46,39,30,48,50,51,‡,877,795,578,567,507,446,400,‡,847,890,851,828,863,901,962,‡,4078,4213,4499,4416,4443,4481,4520,‡,1,2,†,†,‡,193,205,†,†
NORTH CAROLINA,SWAIN COUNTY,2170,2142,‡,‡,2020,‡,1173,1170,1141,890,925,1052,1029,‡,1064,1055,1029,783,827,955,991,‡,492,511,519,311,338,446,442,‡,14,13,19,13,13,10,6,‡,88,81,62,35,38,43,47,‡,14,14,37,36,20,10,29,‡,1545,1529,1533,1278,1343,1498,1496,1,1,1,†,†,43,83,76,†,†
MONTANA,SWEET GRASS COUNTY,565,584,598,611,604,305,300,304,313,314,329,324,315,240,235,235,252,270,269,287,289,1,1,2,4,6,8,7,4,1,3,3,8,6,6,7,9,7,5,7,11,8,8,8,9,2,1,2,4,2,0,0,1,528,519,521,538,562,576,589,581,0,0,1,†,†,6,6,3,†,†
WYOMING,SWEETWATER COUNTY,7634,7628,7341,6964,7049,4219,4097,4044,3984,3969,3741,3608,3538,3952,3846,3754,3654,3663,3552,3366,3301,51,68,81,81,92,97,88,67,56,60,68,63,81,71,70,56,1714,1607,1546,1478,1267,1121,965,886,84,91,112,107,102,103,98,95,6097,5999,5938,5865,6090,5901,5753,5735,19,11,7,9,†,150,107,46,35,†
MINNESOTA,SWIFT COUNTY,1498,1522,1527,1589,1635,860,854,869,859,845,861,867,886,826,806,829,816,829,848,864,893,3,3,3,5,3,9,8,6,7,5,5,17,18,14,12,11,118,103,106,94,89,82,90,73,13,10,7,16,24,17,19,21,1505,1505,1551,1543,1540,1587,1602,1668,7,8,10,†,†,33,26,16,†,†
TEXAS,SWISHER COUNTY,1495,1464,1452,1489,1521,809,785,785,760,762,764,753,760,779,764,761,735,702,688,736,761,4,4,5,7,4,3,2,3,2,2,3,2,2,2,1,2,831,788,806,757,728,732,736,748,123,111,96,110,103,95,97,94,616,625,619,619,627,620,653,674,2,2,2,†,†,10,17,15,†,†
INDIANA,SWITZERLAND COUNTY,1506,1499,1532,1592,1584,780,753,752,765,769,782,812,826,689,664,685,707,691,717,750,758,0,1,2,4,1,1,1,1,3,3,5,3,6,3,2,5,14,20,12,11,11,9,13,8,3,3,4,5,4,4,2,3,1431,1372,1383,1449,1438,1482,1544,1567,1,2,0,†,†,17,16,31,†,†
GEORGIA,TALBOT COUNTY,644,656,683,694,733,265,317,296,315,320,338,336,349,251,284,303,329,330,344,356,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,495,544,574,620,636,662,657,687,20,53,25,24,14,20,34,44,0,0,0,0,†,0,1,0,0,†
MARYLAND,TALBOT COUNTY,4495,4419,4396,4398,4482,2349,2333,2291,2315,2264,2276,2270,2306,2221,2214,2213,2180,2155,2120,2128,2176,10,14,10,16,10,7,7,12,86,82,79,84,86,84,83,88,506,439,389,333,303,273,246,226,774,786,804,896,914,918,937,946,3020,3067,3055,3166,3106,3114,3125,3210,2,6,8,†,†,172,153,159,†,†
GEORGIA,TALIAFERRO COUNTY,225,231,237,256,261,100,105,116,117,107,124,131,133,100,95,102,108,101,97,106,112,0,0,0,0,0,0,0,0,2,2,2,1,1,0,1,1,6,3,3,2,3,0,0,3,161,167,173,183,184,192,205,212,26,19,26,18,20,29,31,29,0,0,0,0,†,5,9,14,21,†
ALABAMA,TALLADEGA COUNTY,12581,12777,13235,13026,13050,‡,6216,6329,6359,6489,6721,6629,6681,‡,6168,6170,6202,6264,6493,6376,6352,‡,16,15,13,14,17,15,10,‡,44,39,37,36,43,33,33,‡,199,174,140,137,122,84,90,‡,4953,5050,5183,5332,5601,5566,5593,‡,7080,7174,7188,7234,7431,7307,7307,‡,4,0,†,†,‡,88,47,†,†
MISSISSIPPI,TALLAHATCHIE COUNTY,2211,2277,2341,2497,2579,‡,1036,1046,1104,1133,1179,1256,1300,‡,1059,1097,1143,1159,1178,1261,1300,‡,0,0,0,0,1,0,2,‡,2,1,1,3,1,2,2,‡,3,3,3,5,5,4,3,‡,1712,1755,1858,1899,1940,2077,2116,‡,374,381,383,385,410,434,477,‡,0,0,0,0,‡,4,3,2,0
ALABAMA,TALLAPOOSA COUNTY,6376,6481,6643,6736,6917,3195,3206,3189,3292,3351,3423,3475,3574,2958,2969,2992,3072,3124,3213,3248,3328,8,9,14,15,15,13,11,11,26,31,39,47,26,20,18,24,194,144,41,123,110,98,90,82,2129,2183,2235,2316,2391,2493,2579,2673,3739,3769,3832,3863,3933,4012,4025,4112,1,0,3,†,†,56,39,17,†,†
IOWA,TAMA COUNTY,2514,2643,2610,2640,2673,617,1502,1570,1543,1601,1617,1648,1687,525,1361,1416,1457,1537,1562,1593,1618,47,168,215,202,320,306,334,340,4,16,14,16,16,11,11,12,143,457,452,441,340,345,341,319,9,24,20,28,33,31,30,37,924,2165,2251,2282,2429,2486,2525,2597,1,2,3,3,†,14,31,31,28,†
MISSOURI,TANEY COUNTY,7840,7650,7436,7121,6772,4019,4134,4142,4009,3914,3834,3652,3442,3822,3962,3900,3852,3761,3614,3486,3352,66,79,94,89,87,80,76,68,93,112,102,103,92,97,101,87,621,607,567,535,490,454,403,359,138,148,139,148,134,99,124,89,6828,7055,7076,6986,6872,6718,6434,6191,7,6,4,†,†,88,89,60,†,†
LOUISIANA,TANGIPAHOA PARISH,19369,19402,19576,19487,19214,10249,10009,9957,9944,9947,9983,9879,9760,9535,9433,9400,9368,9370,9510,9531,9404,26,30,35,37,36,38,37,35,130,115,121,127,115,120,102,112,713,627,463,463,400,390,357,320,9379,9193,9137,9178,9112,9051,8945,8728,9236,9214,9359,9507,9654,9894,9969,9969,4,1,1,†,†,296,262,241,†,†
NEW MEXICO,TAOS COUNTY,4190,4128,4218,4315,4803,768,2277,2322,2309,2327,2412,2466,2435,725,2144,2188,2175,2115,2139,2196,2276,28,239,257,268,275,273,282,299,4,32,35,36,37,37,39,38,942,2904,3320,3414,3391,3492,3525,3533,6,32,27,26,28,33,28,24,449,1186,855,737,711,716,788,817,2,4,2,0,†,62,24,14,3,†
TEXAS,TARRANT COUNTY,335656,328844,322956,317818,312547,184144,180682,177928,173546,170073,167285,163175,160164,175232,171899,169331,165574,162266,159470,155569,152687,2725,2815,3014,2070,1683,1675,1745,1523,17753,17261,16813,17795,16901,16294,15496,14919,137889,133328,128312,121415,117110,111937,105781,99283,66791,64711,63754,65623,64054,63022,60885,60130,125417,126342,127983,132217,132591,133827,134837,136996,957,870,768,†,†,7844,7254,6615,†,†
MISSISSIPPI,TATE COUNTY,4880,4885,4866,4808,4671,2518,2504,2565,2605,2587,2549,2492,2425,2288,2311,2266,2340,2341,2347,2342,2286,6,3,3,2,5,3,1,0,11,7,10,13,13,16,10,13,151,134,145,133,120,96,96,71,1944,1941,1960,1996,1973,1996,1977,2001,2642,2681,2691,2773,2817,2785,2750,2626,0,0,0,0,0,52,49,22,28,0
GEORGIA,TATTNALL COUNTY,3589,3482,3421,3342,3367,1910,1886,1889,1867,1742,1713,1694,1704,1778,1703,1745,1722,1650,1623,1566,1591,5,1,4,6,3,3,1,2,20,16,12,14,22,20,19,21,648,674,650,602,558,529,503,505,919,893,921,926,916,966,979,1001,1982,1922,1964,1962,1893,1818,1758,1766,3,2,2,3,†,111,81,81,76,†
GEORGIA,TAYLOR COUNTY,1535,1590,1608,1620,1596,791,807,792,782,775,784,806,796,755,761,751,753,786,796,799,785,2,5,3,0,0,0,0,0,21,21,14,11,17,12,15,14,11,9,10,6,12,12,17,13,643,662,652,678,727,777,792,764,856,857,846,825,805,779,781,790,2,0,1,2,†,11,14,17,13,†
IOWA,TAYLOR COUNTY,1019,991,1006,998,1045,522,524,501,483,503,498,499,538,489,497,503,484,488,503,499,507,2,2,2,2,0,1,0,0,6,6,5,6,6,8,7,4,129,138,123,119,107,105,102,96,4,5,6,6,4,5,3,2,862,863,862,828,874,882,886,943,1,1,1,1,†,7,6,5,5,†
FLORIDA,TAYLOR COUNTY,3178,3298,3388,3420,3378,‡,1560,1612,1574,1632,1695,1719,1705,‡,1486,1541,1499,1566,1608,1624,1673,‡,7,12,19,14,19,17,21,‡,35,34,41,43,40,34,36,‡,74,78,48,46,46,49,47,‡,727,760,760,789,811,835,831,‡,2123,2189,2205,2306,2387,2408,2443,‡,0,0,†,†,‡,80,80,†,†
KENTUCKY,TAYLOR COUNTY,3846,3758,3827,3710,3942,‡,1916,1906,1876,1866,1917,1870,1879,‡,1836,1852,1864,1793,1835,1787,1854,‡,4,6,5,4,8,5,7,‡,26,19,16,14,18,15,22,‡,94,90,82,69,64,57,48,‡,165,179,198,193,215,204,210,‡,3341,3366,3439,3379,3447,3376,3446,‡,6,3,†,†,‡,116,95,†,†
TEXAS,TAYLOR COUNTY,22639,22018,22185,22166,22262,12043,11819,11733,11525,11303,11369,11377,11353,11307,11310,11286,11119,10921,10977,10931,10908,99,97,111,155,130,119,114,106,403,408,354,454,349,344,311,301,8022,7816,7781,7332,6555,6411,6249,6100,2184,2221,2208,2572,2559,2468,2411,2362,11824,11795,11818,12131,12631,13004,13223,13392,28,32,35,†,†,790,760,712,†,†
WEST VIRGINIA,TAYLOR COUNTY,2450,2426,2464,2465,2507,1253,1234,1250,1281,1128,1150,1278,1306,1156,1156,1145,1169,1034,1066,1187,1201,0,1,2,1,1,2,2,2,2,2,3,2,3,3,3,3,10,7,7,9,6,6,6,7,17,22,23,20,16,16,25,35,2375,2354,2355,2415,2136,2189,2429,2460,0,0,0,0,†,5,4,5,3,†
WISCONSIN,TAYLOR COUNTY,3082,3101,3074,3098,3248,1589,1600,1613,1608,1603,1615,1629,1711,1442,1428,1437,1466,1488,1457,1469,1537,13,8,10,12,9,11,9,10,21,17,14,23,17,25,24,28,90,84,67,51,53,49,55,53,32,36,28,28,23,23,17,18,2851,2863,2919,2960,2989,2964,2993,3139,3,2,2,†,†,21,18,10,†,†
VIRGINIA,TAZEWELL COUNTY,6787,6856,6908,6996,6844,3254,3385,3412,3473,3506,3527,3579,3484,3005,3167,3211,3260,3325,3360,3397,3346,4,7,2,5,4,1,4,3,64,61,57,62,71,72,77,81,28,28,22,21,23,19,14,15,184,188,191,172,199,212,217,226,5883,6193,6305,6473,6534,6583,6664,6505,0,0,0,†,†,96,75,46,†,†
ILLINOIS,TAZEWELL COUNTY,20197,19996,20502,20664,19833,10765,10776,10687,10469,9678,10326,10597,10519,10020,9930,9880,9724,10507,9543,9876,9784,69,82,77,62,56,63,63,58,209,213,206,208,188,194,181,194,578,499,450,289,273,279,289,261,260,238,236,171,184,179,185,193,19105,19154,19131,19463,19484,19154,19755,19597,17,18,14,†,†,547,502,453,†,†
CALIFORNIA,TEHAMA COUNTY,10301,11017,11054,11211,11149,5628,5714,5777,4487,5841,5664,5810,5852,5383,5479,5484,4322,5686,5462,5652,5637,237,235,268,195,267,295,256,268,105,107,144,98,146,187,180,164,3975,3955,3874,2909,3680,3272,3434,3328,97,90,98,81,112,118,120,153,6318,6580,6686,4622,7026,7254,7472,7576,22,29,33,20,34,257,197,158,884,262
GEORGIA,TELFAIR COUNTY,1773,1751,1755,1755,1784,907,898,879,910,879,876,886,896,869,866,879,863,829,833,836,859,1,1,2,2,2,2,2,2,4,4,4,7,8,11,14,9,42,26,15,8,65,73,66,61,761,761,742,761,762,775,792,811,937,940,963,971,871,848,848,872,1,1,0,0,†,30,31,32,24,†
COLORADO,TELLER COUNTY,3266,3342,3502,3552,3614,1624,1681,1719,1744,1771,1869,1864,1911,1370,1476,1473,1521,1571,1633,1688,1703,21,17,29,30,27,44,55,57,17,18,22,41,40,37,38,35,232,248,261,246,212,241,241,212,12,19,26,42,36,41,46,44,2598,2743,2753,2906,3027,3139,3172,3266,7,4,6,†,†,107,108,95,†,†
LOUISIANA,TENSAS PARISH,713,745,757,812,872,390,402,388,398,418,410,440,466,290,305,288,315,327,347,372,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,15,13,14,16,13,608,645,610,650,681,694,743,796,60,49,46,48,51,49,53,63,0,0,0,†,†,6,4,8,†,†
LOUISIANA,TERREBONNE PARISH,18980,19004,19142,18911,19061,9564,9544,9583,9671,9653,9688,9642,9722,9055,9045,9139,9198,9245,9339,9269,9339,1688,1720,1697,1731,1712,1688,1640,1625,192,221,239,223,211,219,212,225,873,711,548,563,480,419,352,313,5202,5240,5380,5458,5449,5483,5430,5491,10303,10483,10743,10894,11046,11218,11277,11407,3,2,0,†,†,358,212,115,†,†
GEORGIA,TERRELL COUNTY,1512,1515,1609,1656,1651,804,805,802,810,791,837,865,857,682,709,715,702,718,767,784,786,0,0,0,2,2,2,1,1,6,7,5,9,5,3,4,2,25,20,9,4,10,13,10,15,1385,1400,1429,1427,1447,1524,1576,1580,68,82,70,66,45,62,58,45,0,0,0,0,†,2,5,4,4,†
TEXAS,TERRELL COUNTY,167,168,152,144,146,70,79,81,97,101,91,78,80,46,52,57,70,67,61,66,66,0,0,0,1,2,2,2,2,0,1,1,3,3,5,3,4,72,77,77,92,100,84,88,87,0,0,0,2,3,4,1,1,42,49,59,69,60,57,50,52,0,0,0,†,†,2,4,1,†,†
TEXAS,TERRY COUNTY,2256,2248,2268,2300,2397,1210,1163,1199,1149,1139,1131,1141,1208,1184,1134,1132,1107,1122,1141,1171,1194,11,12,13,5,1,2,2,6,8,4,6,9,5,6,7,5,1684,1605,1616,1505,1495,1489,1471,1498,63,65,74,105,104,104,116,110,609,592,604,632,656,671,716,783,0,0,0,†,†,19,19,18,†,†
MONTANA,TETON COUNTY,1180,1147,1215,1256,1335,573,573,614,614,583,608,657,684,559,567,547,555,554,579,599,651,27,24,28,35,28,29,40,55,3,2,4,3,2,1,0,4,34,36,40,31,22,18,21,24,2,3,2,5,7,5,4,5,1045,1051,1073,1095,1078,1134,1191,1247,2,2,3,†,†,19,22,11,†,†
IDAHO,TETON COUNTY,1566,1589,1554,1412,1403,434,828,834,828,766,580,713,701,428,730,742,738,823,626,699,702,3,7,8,9,5,3,3,0,1,2,1,12,7,5,4,6,217,389,385,358,382,294,313,322,2,2,1,4,1,1,0,6,629,1146,1176,1183,1194,903,1092,1069,0,2,4,†,†,10,10,1,†,†
WYOMING,TETON COUNTY,2324,2316,2327,2264,2344,1255,1274,1246,1197,1182,1217,1175,1226,1232,1207,1210,1127,1126,1102,1079,1078,4,10,16,14,10,17,17,11,39,41,35,33,39,35,36,31,725,684,659,605,546,499,431,363,2,4,6,4,7,6,11,10,1680,1706,1696,1624,1706,1762,1759,1889,0,0,1,1,†,37,36,43,43,†
MISSOURI,TEXAS COUNTY,4082,3987,4022,4067,4124,1844,2116,2256,2253,2090,2045,2076,2122,1769,1956,2101,2135,1922,1995,2013,2019,7,11,14,16,16,15,12,7,16,21,18,23,20,19,16,19,43,54,57,40,31,33,29,44,34,36,47,45,38,35,56,44,3488,3932,4213,4264,3907,3938,3976,4027,7,5,4,†,†,18,13,4,†,†
OKLAHOMA,TEXAS COUNTY,4301,4025,3971,3884,3848,2312,2285,2288,2258,2104,2047,2032,2031,2163,2143,2118,2040,1921,1837,1874,1861,13,15,18,21,24,22,30,25,107,107,96,82,50,28,43,24,2687,2601,2534,2371,2120,2008,1955,1878,58,50,56,63,66,57,66,39,1568,1623,1639,1761,1765,1769,1812,1926,2,1,7,†,†,40,31,56,†,†
NEBRASKA,THAYER COUNTY,806,800,814,802,822,415,430,434,436,439,444,431,437,393,391,384,370,361,370,371,385,3,2,2,4,2,2,3,4,5,6,10,11,7,4,6,2,26,29,28,20,21,21,23,25,15,12,11,12,8,8,5,5,751,765,760,759,762,779,765,786,0,0,0,†,†,8,7,7,†,†
NEBRASKA,THOMAS COUNTY,97,111,126,241,93,74,83,86,77,82,88,42,43,73,84,77,71,72,78,51,44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,2,0,1,1,0,144,164,161,146,153,165,91,87,0,0,0,†,†,0,0,0,†,†
GEORGIA,THOMAS COUNTY,8444,8536,8592,8647,8601,4337,4250,4231,4212,4183,4248,4328,4302,4180,4151,4132,4232,4188,4204,4206,4196,16,17,24,25,13,17,14,15,77,78,77,70,60,52,55,50,274,256,223,233,194,193,182,154,3779,3728,3761,3777,3853,3919,4008,4067,4206,4172,4160,4226,4251,4271,4275,4212,6,5,6,2,†,159,145,112,111,†
KANSAS,THOMAS COUNTY,995,1038,1066,1090,1299,589,539,564,571,592,612,595,667,602,568,607,584,552,558,563,607,3,3,6,9,5,8,9,9,7,8,8,9,2,4,5,7,96,71,77,79,58,48,41,46,8,7,11,6,14,13,13,11,1055,998,1056,1045,1065,1097,1090,1201,1,0,2,1,†,21,20,11,6,†
TEXAS,THROCKMORTON COUNTY,322,339,340,305,315,179,184,180,179,194,192,172,177,134,138,135,143,145,148,133,138,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,68,64,61,62,64,59,53,45,1,0,2,1,2,0,0,0,240,254,252,258,270,281,252,270,0,0,0,†,†,4,4,0,†,†
NEBRASKA,THURSTON COUNTY,1528,1110,1086,1460,1433,967,977,869,869,897,766,750,741,891,875,797,804,794,728,710,692,1277,1268,1139,1166,1196,1143,1104,1100,2,3,3,7,7,4,4,3,81,84,47,27,30,18,16,3,6,7,6,6,7,8,3,4,468,473,468,467,451,321,333,323,3,1,3,†,†,21,16,0,†,†
WASHINGTON,THURSTON COUNTY,40490,41418,40244,39523,40019,10531,20571,20804,19774,20185,19814,19387,20246,9774,19011,19267,18284,18692,18499,18148,18873,223,507,569,974,1030,1071,1054,1004,1114,2090,2358,3338,3231,3178,3083,3141,2580,4619,4306,3161,3083,2886,2704,2608,623,1257,1381,1910,1906,1897,1846,1884,13703,27437,28513,28675,29627,29281,28848,30482,179,330,316,†,†,1883,3342,2628,†,†
GEORGIA,TIFT COUNTY,7620,7551,7649,7640,7638,4040,3977,3913,3836,3677,3762,3772,3756,3866,3833,3842,3784,3641,3669,3688,3720,7,8,6,3,8,6,4,4,97,104,99,85,88,88,89,84,1444,1383,1344,1263,1019,978,919,904,2759,2656,2613,2536,2610,2690,2762,2749,3432,3500,3526,3568,3593,3669,3686,3735,3,4,3,3,†,164,155,164,162,†
OREGON,TILLAMOOK COUNTY,3281,3301,3305,3355,3402,1693,1740,1777,1775,1811,1812,1819,1843,1532,1531,1514,1444,1454,1470,1560,1609,61,65,60,60,56,62,79,75,27,29,29,33,48,40,57,60,727,711,690,655,595,577,564,574,18,17,15,25,28,27,31,24,2237,2292,2360,2446,2538,2576,2648,2719,19,21,24,†,†,136,136,113,†,†
OKLAHOMA,TILLMAN COUNTY,1550,1587,1665,1694,1728,822,825,834,810,845,905,895,932,753,743,750,740,742,776,809,807,57,71,80,116,120,125,126,143,7,7,8,11,15,12,7,11,590,542,502,503,486,513,492,519,164,174,180,180,197,205,239,207,686,708,778,740,769,826,840,859,1,2,3,†,†,70,64,33,†,†
PENNSYLVANIA,TIOGA COUNTY,5777,5879,6125,6182,6232,2816,2841,2885,2895,3017,3109,3139,3145,2725,2765,2783,2849,2943,3034,3024,3087,16,12,15,17,16,17,24,23,32,29,29,30,29,27,36,32,65,78,88,60,66,70,74,66,62,61,60,73,68,75,70,63,5342,5414,5470,5564,5781,5954,5959,6048,3,2,2,†,†,21,10,4,†,†
NEW YORK,TIOGA COUNTY,8052,8192,8275,8488,8561,4077,4125,4060,4178,3977,4343,4287,4492,3939,3935,4015,4058,3859,4168,4050,4254,11,15,17,17,7,7,13,10,53,58,68,64,67,79,64,58,127,118,58,93,81,234,60,55,123,126,146,142,163,160,159,145,7605,7672,7755,7920,7518,8031,8041,8478,15,15,0,†,†,82,56,31,†,†
MISSISSIPPI,TIPPAH COUNTY,4012,3967,4009,4044,4095,2121,2114,2071,2062,1908,2116,2100,2140,2018,2002,2018,2030,1842,2080,2016,2023,1,0,0,0,5,4,4,4,14,14,13,6,4,4,4,5,242,235,236,205,196,206,192,190,813,811,825,832,844,940,801,810,2931,2944,2931,2963,2701,3042,3115,3154,1,0,0,0,0,137,112,84,86,0
INDIANA,TIPPECANOE COUNTY,21341,21237,21051,20763,20095,11104,10870,10876,10271,10302,10244,10176,10263,10658,10411,10356,9948,9932,9881,9765,9832,71,62,61,57,83,101,92,96,783,735,767,705,647,665,649,618,3315,2990,2788,2480,2415,2322,2171,1992,1564,1410,1398,1344,1233,1112,1087,935,14977,15005,15193,15633,15856,15925,15942,16454,9,8,7,†,†,1043,1071,1018,†,†
